Date,Cryptomonnaie,PrixOuverture,PrixCloture,Volume
2023-06-17,Ripple,30798.98,49300.7,2696.18
2023-06-17,Litecoin,11665.65,13274.75,2101.18
2023-06-18,Bitcoin,54334.41,15550.45,5132.39
2023-06-18,Ethereum,10336.28,49920.26,8183.91
2023-06-18,Ripple,36225.38,10000.53,3117.19
2023-06-18,Litecoin,29617.49,51609.51,8267.22
2023-06-19,Bitcoin,35010.66,11550.41,4483.22
2023-06-19,Ethereum,24627.64,16777.62,2331.17
2023-06-19,Ripple,25789.86,36875.61,4232.14
2023-06-19,Litecoin,7521.2,13772.93,7758.07
2023-06-20,Bitcoin,18767.31,11159.39,7522.2
2023-06-20,Ethereum,50744.83,13110.38,7465.29
2023-06-20,Ripple,29386.9,48114.85,7565.06
2023-06-20,Litecoin,8336.82,20425.28,4759.51
2023-06-21,Bitcoin,59620.28,7406.52,8507.69
2023-06-21,Ethereum,55695.17,19722.32,9977.52
2023-06-21,Ripple,28114.92,52231.16,1828.09
2023-06-21,Litecoin,35368.83,13563.37,6295.33
2023-06-22,Bitcoin,13224.38,38250.27,1704.35
2023-06-22,Ethereum,50528.8,33214.07,8484.89
2023-06-22,Ripple,40582.0,39690.07,7273.34
2023-06-22,Litecoin,55974.37,55693.79,3826.61
2023-06-23,Bitcoin,41138.34,37317.17,2478.87
2023-06-23,Ethereum,41748.94,45436.98,8022.58
2023-06-23,Ripple,49283.47,38648.5,2151.95
2023-06-23,Litecoin,9720.72,28856.71,5850.36
2023-06-24,Bitcoin,47393.09,49141.86,2351.15
2023-06-24,Ethereum,51274.19,26549.16,8119.22
2023-06-24,Ripple,44252.36,51023.17,7951.12
2023-06-24,Litecoin,37923.62,23116.16,2612.98
